"country","iso","year","total","coal","oil","gas","cement","flaring","other"
"Afghanistan","AFG",2017,0.276852,0.096731,0.170436,0.008429,0.001256,0,0
"Afghanistan","AFG",2018,0.294876,0.104866,0.18047,0.00799,0.00155,0,0
"Afghanistan","AFG",2019,0.293401,0.104708,0.181177,0.006502,0.001015,0,0
"Afghanistan","AFG",2020,0.299746,0.106488,0.185254,0.006447,0.001557,0,0
"Afghanistan","AFG",2021,0.296119,0.104828,0.185029,0.005956,0.000306,0,0
"Albania","ALB",2017,1.932429,0.095372,1.416589,0.058495,0.351291,0.010682,0
"Albania","ALB",2018,1.732368,0.164287,1.157651,0.052215,0.353399,0.004816,0
"Albania","ALB",2019,1.721533,0.112194,1.197159,0.045897,0.364726,0.001557,0
"Albania","ALB",2020,1.649392,0.115611,1.122339,0.045757,0.36562,0.000066,0
"Albania","ALB",2021,1.618066,0.061096,1.137164,0.052631,0.367175,0,0
"Algeria","DZA",2017,4.045341,0.019328,1.3445,2.00192,0.277278,0.402316,0
"Algeria","DZA",2018,4.147961,0.031722,1.309946,2.120033,0.295315,0.390946,0
"Algeria","DZA",2019,4.203332,0.025653,1.385251,2.136732,0.258235,0.397461,0
"Algeria","DZA",2020,3.970031,0.025282,1.25519,2.032334,0.2538,0.403426,0
"Algeria","DZA",2021,3.989977,0.024798,1.268066,2.100412,0.249628,0.347072,0
"Andorra","AND",2017,6.302098,0,6.302098,0,0,0,0
"Andorra","AND",2018,6.594057,0,6.594057,0,0,0,0
"Andorra","AND",2019,6.287204,0,6.287204,0,0,0,0
"Andorra","AND",2020,5.777148,0,5.777148,0,0,0,0
"Andorra","AND",2021,5.730292,0,5.730292,0,0,0,0
"Angola","AGO",2017,0.804541,0,0.483036,0.052027,0.032966,0.236512,0
"Angola","AGO",2018,0.728395,0,0.475601,0.051426,0.033454,0.167915,0
"Angola","AGO",2019,0.674362,0,0.429439,0.075084,0.034733,0.135106,0
"Angola","AGO",2020,0.606541,0,0.39198,0.075982,0.033616,0.104963,0
"Angola","AGO",2021,0.619141,0,0.402904,0.085536,0.032568,0.098133,0
"Anguilla","AIA",2017,9.516883,0,9.516883,0,0,0,0
"Anguilla","AIA",2018,9.412819,0,9.412819,0,0,0,0
"Anguilla","AIA",2019,10.005722,0,10.005722,0,0,0,0
"Anguilla","AIA",2020,8.430535,0,8.430535,0,0,0,0
