"country","iso","year","total","coal","oil","gas","cement","flaring","other"
"Brazil","BRA",1945,0,0,0,0,0,0,0
"Brazil","BRA",1946,0,0,0,0,0,0,0
"Brazil","BRA",1947,0,0,0,0,0,0,0
"Brazil","BRA",1948,0,0,0,0,0,0,0
"Brazil","BRA",1949,0,0,0,0,0,0,0
"Brazil","BRA",1950,0.364358,0.118296,0.233128,0.000068,0.012731,0.000136,0
"Brazil","BRA",1951,0.389619,0.112904,0.263442,0.000066,0.012944,0.000264,0
"Brazil","BRA",1952,0.43528,0.104884,0.316121,0.000064,0.013956,0.000256,0
"Brazil","BRA",1953,0.427245,0.095209,0.314052,0.000124,0.016991,0.000869,0
"Brazil","BRA",1954,0.487865,0.094559,0.370706,0.000241,0.020312,0.002048,0
"Brazil","BRA",1955,0.542634,0.093488,0.425135,0.000234,0.021849,0.001928,0
"Brazil","BRA",1956,0.566301,0.078444,0.460006,0.000283,0.025018,0.002551,0
"Brazil","BRA",1957,0.539658,0.075412,0.435871,0.000495,0.025188,0.002693,0
"Brazil","BRA",1958,0.568173,0.057463,0.47799,0.000959,0.02723,0.004531,0
"Brazil","BRA",1959,0.55046,0.057947,0.45815,0.001292,0.026765,0.006306,0
"Brazil","BRA",1960,0.640993,0.067924,0.533816,0.001554,0.030231,0.007469,0
"Brazil","BRA",1961,0.65211,0.062117,0.550541,0.001508,0.030647,0.007296,0
"Brazil","BRA",1962,0.690549,0.07304,0.57766,0.001416,0.031729,0.006704,0
"Brazil","BRA",1963,0.69425,0.06781,0.586997,0.002063,0.031191,0.00619,0
"Brazil","BRA",1964,0.687627,0.075001,0.571325,0.00196,0.032572,0.00677,0
"Brazil","BRA",1965,0.664164,0.082054,0.540821,0.002295,0.031329,0.007664,0
"Brazil","BRA",1966,0.736559,0.096171,0.596195,0.002822,0.032482,0.008888,0
"Brazil","BRA",1967,0.73791,0.09094,0.601469,0.002871,0.033194,0.009434,0
"Brazil","BRA",1968,0.840813,0.093095,0.697995,0.002518,0.036411,0.010793,0
